0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 545455
1, 480, Marker_t, "1st Mov't. ""Allegro"""
1, 8160, Tempo, 545455
1, 8256, Tempo, 550459
1, 8352, Tempo, 555556
1, 8448, Tempo, 560748
1, 8544, Tempo, 566038
1, 8641, Tempo, 571429
1, 8737, Tempo, 576923
1, 8833, Tempo, 582524
1, 8929, Tempo, 588235
1, 9025, Tempo, 594059
1, 9122, Tempo, 600000
1, 9123, Tempo, 545455
1, 15360, Tempo, 545455
1, 15467, Tempo, 550459
1, 15575, Tempo, 555556
1, 15683, Tempo, 560748
1, 15791, Tempo, 566038
1, 15899, Tempo, 571429
1, 16006, Tempo, 576923
1, 16114, Tempo, 582524
1, 16222, Tempo, 588235
1, 16330, Tempo, 594059
1, 16560, Tempo, 3000000
1, 16619, Tempo, 545455
1, 20162, Tempo, 545455
1, 20173, Tempo, 550459
1, 20185, Tempo, 555556
1, 20197, Tempo, 560748
1, 20209, Tempo, 566038
1, 20221, Tempo, 571429
1, 20233, Tempo, 576923
1, 20245, Tempo, 582524
1, 20257, Tempo, 588235
1, 20269, Tempo, 594059
1, 20281, Tempo, 600000
1, 20292, Tempo, 606061
1, 20304, Tempo, 612245
1, 20316, Tempo, 618557
1, 20328, Tempo, 625000
1, 20340, Tempo, 631579
1, 20352, Tempo, 638298
1, 20364, Tempo, 645161
1, 20376, Tempo, 652174
1, 20388, Tempo, 659341
1, 20400, Tempo, 666667
1, 20401, Tempo, 545455
1, 24779, Tempo, 571429
1, 25259, Tempo, 600000
1, 25442, Tempo, 600000
1, 25537, Tempo, 606061
1, 25633, Tempo, 612245
1, 25729, Tempo, 618557
1, 25825, Tempo, 625000
1, 25921, Tempo, 631579
1, 26016, Tempo, 638298
1, 26112, Tempo, 645161
1, 26160, Tempo, 666667
1, 26184, Tempo, 659341
1, 26208, Tempo, 652174
1, 26232, Tempo, 645161
1, 26256, Tempo, 638298
