0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 545455
1, 480, Marker_t, "1st Mov't. ""Allegro"""
1, 14400, Tempo, 545455
1, 14409, Tempo, 550459
1, 14419, Tempo, 555556
1, 14428, Tempo, 560748
1, 14438, Tempo, 566038
1, 14447, Tempo, 571429
1, 14457, Tempo, 576923
1, 14467, Tempo, 582524
1, 14476, Tempo, 588235
1, 14486, Tempo, 594059
1, 14495, Tempo, 600000
1, 14505, Tempo, 606061
1, 14514, Tempo, 612245
1, 14524, Tempo, 618557
1, 14534, Tempo, 625000
1, 14543, Tempo, 631579
1, 14553, Tempo, 638298
1, 14562, Tempo, 645161
1, 14572, Tempo, 652174
1, 14582, Tempo, 659341
1, 14591, Tempo, 666667
1, 14601, Tempo, 674157
1, 14610, Tempo, 681818
1, 14620, Tempo, 689655
1, 14629, Tempo, 697674
1, 14639, Tempo, 705882
1, 14649, Tempo, 714286
1, 14658, Tempo, 722892
1, 14668, Tempo, 731707
1, 14677, Tempo, 740741
1, 14687, Tempo, 750000
1, 14696, Tempo, 759494
1, 14706, Tempo, 769231
1, 14716, Tempo, 779221
1, 14725, Tempo, 789474
1, 14735, Tempo, 800000
1, 14744, Tempo, 810811
1, 14754, Tempo, 821918
1, 14764, Tempo, 833333
1, 14773, Tempo, 845070
1, 14783, Tempo, 857143
1, 14792, Tempo, 869565
1, 14802, Tempo, 882353
1, 14811, Tempo, 895522
1, 14821, Tempo, 909091
1, 14831, Tempo, 923077
1, 14840, Tempo, 937500
1, 14850, Tempo, 952381
1, 14859, Tempo, 967742
1, 14869, Tempo, 983607
1, 14879, Tempo, 1000000
1, 14880, Tempo, 545455
1, 24000, Tempo, 545455
1, 24047, Tempo, 550459
1, 24095, Tempo, 555556
1, 24143, Tempo, 560748
1, 24191, Tempo, 566038
1, 24239, Tempo, 571429
1, 24287, Tempo, 576923
1, 24335, Tempo, 582524
1, 24383, Tempo, 588235
