0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate C-Dur KV 330"
1, 0, Title_t, "3. Satz"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Mozart"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Update am 31.3.2000\012"
1, 0, Text_t, "Update am 8.1.2001\012"
1, 0, Text_t, "Update am 4.12.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Gesamtdauer: 8:20 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 717103
1, 0, Marker_t, "Allegretto"
1, 1440, Tempo, 731707
1, 1920, Tempo, 717103
1, 3120, Tempo, 724725
1, 3360, Tempo, 731707
1, 3840, Tempo, 717103
1, 4560, Tempo, 732601
1, 4800, Tempo, 717103
1, 6720, Tempo, 717103
1, 6880, Tempo, 720894
1, 7040, Tempo, 724725
1, 7200, Tempo, 728686
1, 7360, Tempo, 732601
1, 7520, Tempo, 736558
1, 7680, Tempo, 717103
1, 9120, Tempo, 724725
1, 9600, Tempo, 717103
1, 10800, Tempo, 724725
1, 11040, Tempo, 724725
1, 11520, Tempo, 717103
1, 12240, Tempo, 732601
1, 12480, Tempo, 717103
1, 13440, Tempo, 728686
1, 13680, Tempo, 717103
1, 13920, Tempo, 752823
1, 14400, Tempo, 728686
1, 14880, Tempo, 717103
1, 15360, Tempo, 732601
1, 15600, Tempo, 714286
1, 16080, Tempo, 727273
1, 16320, Tempo, 728686
1, 16800, Tempo, 717103
1, 17280, Tempo, 732601
1, 17500, Tempo, 731707
1, 17520, Tempo, 710059
1, 18000, Tempo, 727273
1, 18220, Tempo, 701754
1, 18240, Tempo, 779221
1, 18480, Tempo, 882353
1, 19200, Tempo, 717103
1, 20520, Tempo, 748690
1, 20640, Tempo, 714286
1, 21720, Tempo, 757002
1, 21840, Tempo, 724725
1, 22320, Tempo, 740558
1, 22440, Tempo, 724725
1, 23040, Tempo, 717103
1, 23520, Tempo, 705882
1, 24360, Tempo, 744602
1, 24480, Tempo, 717103
1, 24960, Tempo, 713352
1, 25160, Tempo, 717103
1, 25360, Tempo, 720894
1, 25560, Tempo, 724725
1, 25800, Tempo, 783085
1, 25920, Tempo, 748690
1, 26760, Tempo, 845070
1, 26880, Tempo, 745342
1, 27120, Tempo, 714286
1, 27600, Tempo, 714286
1, 27680, Tempo, 718563
1, 27760, Tempo, 722892
1, 27840, Tempo, 745342
1, 28080, Tempo, 714286
1, 28720, Tempo, 759494
1, 28800, Tempo, 714286
1, 29200, Tempo, 784314
1, 29280, Tempo, 714286
1, 29680, Tempo, 794702
1, 29760, Tempo, 727273
1, 30720, Tempo, 714286
1, 32160, Tempo, 705882
1, 32520, Tempo, 759494
1, 32640, Tempo, 722892
1, 33120, Tempo, 714286
1, 34560, Tempo, 714286
1, 36000, Tempo, 722892
1, 36480, Tempo, 714286
1, 38760, Tempo, 750000
1, 38880, Tempo, 714286
1, 39840, Tempo, 705882
1, 40200, Tempo, 759494
1, 40320, Tempo, 727273
1, 40680, Tempo, 754717
1, 40800, Tempo, 714286
1, 42600, Tempo, 750000
1, 42720, Tempo, 714286
1, 44040, Tempo, 794702
1, 44160, Tempo, 727273
1, 45000, Tempo, 794702
1, 45120, Tempo, 727273
1, 45360, Tempo, 722892
1, 45420, Tempo, 727273
1, 45480, Tempo, 731707
1, 45520, Tempo, 736196
1, 45580, Tempo, 740741
1, 45640, Tempo, 745342
